Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
13-250;113250;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Astra San Miguel;No Aplica;Privado;No Aplica;13130;San Miguel;Avenida;5681;Gran Avenida José Miguel Carrera;225217004;39814;NO;No Aplica;No Aplica;-33,506169;-70,656159;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
11-232;111232;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Astra Maipú;No Aplica;Privado;No Aplica;13119;Maipú;Avenida;2624;Pajaritos, local 32;225343783;39814;NO;No Aplica;No Aplica;-33,50567;-70,75697;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
11-308;111308;;;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. José Eduardo Ahués Salame;Centro de Salud Familiar;Servicio de Salud;Primario;13119;Maipú;Avenida;2200;Independencia ;225742750;38716;NO;No Aplica;No Aplica;-33,505433;-70,774352;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-902;200218;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico Clínica Hospital Profesor;No Aplica;Privado;Secundario;13119;Maipú;Calle;66;Tristán Valdés;222996000;40906;NO;No Aplica;No Aplica;-33,505203;-70,756495;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-802;113802;13-302;113302;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR San Miguel;No Aplica;Municipal;Primario;13130;San Miguel;Calle;567;Llico;;44180;SI;Urgencia ambulatoria (SAR);No Aplica;-33,504957;-70,642698;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
11-804;111804;11-304;111304;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Maipú;No Aplica;Servicio de Salud;Primario;13119;Maipú;Avenida;2470;Pajaritos;224828308;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-33,504336;-70,758607;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-304;111304;;;13;Región Metropolitana de Santiago;11;Servicio de Salud Metropolitano Central;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Maipú;Centro de Salud Familiar;Servicio de Salud;Primario;13119;Maipú;Avenida;2470;Ramón Freire ;800500354;38716;NO;No Aplica;No Aplica;-33,504315;-70,75815;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
11-282;111282;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Asistencial AChS Maipú;No Aplica;Privado;Secundario;13119;Maipú;Avenida;2521;Pajaritos;223857400;39814;NO;No Aplica;No Aplica;-33,504193;-70,757091;Privado;Vigente en operación habitual;;Atención Abierta-Ambulatoria;
12-815;112815;12-315;112315;13;Región Metropolitana de Santiago;12;Servicio de Salud Metropolitano Oriente;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU San Luis;No Aplica;Municipal;Primario;13122;Peñalolén;Calle;5556;Los Cerezos ;229397301;38716;SI;Urgencia Ambulatoria (SAPU);Largo;-33,503774;-70,574054;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
13-908;200361;13-302;113302;13;Región Metropolitana de Santiago;13;Servicio de Salud Metropolitano Sur;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Atacama;No Aplica;Municipal;Primario;13130;San Miguel;Calle;1462;Segunda Avenida;;42919;NO;No Aplica;No Aplica;-33,503742;-70,662713;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
