Código Antiguo ;Código Vigente;Código  Madre Antiguo;Código Madre Nuevo;Código Región;Nombre Región;Código Dependencia Jerárquica (SEREMI / Servicio de Salud);Nombre Dependencia Jerárquica (SEREMI / Servicio de Salud);Pertenencia al SNSS;Tipo Establecimiento (Unidad);Ámbito de Funcionamiento;Nombre Oficial;Certificación ;Dependencia Administrativa;Nivel de Atención;Código Comuna;Nombre Comuna;Vía;Número;Dirección;Teléfono;Fecha Inicio Funcionamiento;Tiene Servicio de Urgencia;Tipo de Urgencia ;Clasificcion Tipo de SAPU;LATITUD      [Grados decimales];LONGITUD [Grados decimales];Tipo de Prestador Sistema de Salud;Estado de Funcionamiento;Nivel de Complejidad;Tipo de Atención ;
26-704;126704;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Comunitario Cristina Calderón de Puerto Williams;No Aplica;Servicio de Salud;Primario;12201;Cabo de Hornos;Calle;246;O'Higgins;612453636;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-54,935209;-67,600393;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
26-204;126204;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Naval (Puerto Williams) ;No Aplica;Fuerzas Armadas y de Orden (FFAA);Terciario;12201;Cabo de Hornos;Calle;56;Mc Intyre, Puerto Williams;612624328;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-54,934374;-67,608895;Fuerzas Armadas y de Orden;Vigente en operación habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
26-412;126412;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Cameron;No Aplica;Municipal;Primario;12303;Timaukel;Calle;;Caserío de Camerón;74613302;38716;NO;No Aplica;No Aplica;-53,640546;-69,645848;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-414;126414;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Agua Fresca;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Caserío de Agua Fresca;612260555;38716;NO;No Aplica;No Aplica;-53,404244;-70,990158;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-102;126102;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Marco Antonio Chamorro ( Porvenir);No Aplica;Servicio de Salud;Primario;12301;Porvenir;Calle;480;Carlos Wood ;612291800;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,298162;-70,358384;Público ;Vigente en operación habitual;Baja Complejidad;Atención Cerrada-Hospitalaria;
201364;201364;;;8;Región Del Bíobío;8;SEREMI Del Biobío;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud; UNO SALUD DENTAL LOS ÁNGELES 2;No Aplica;Privado;No Aplica;08301;Los Ángeles;Avenida;610;ALEMANIA ;;44970;No;No Aplica;No Aplica;-37,468505;-72,340387;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-902;200311;26-301;126301;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Juan Damianovic;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;370;Linao;;42783;NO;No Aplica;No Aplica;-53,180523;-70,951523;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-911;200710;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Mental;Establecimiento de Salud;Complejo Miraflores (Salud Mental);No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;825;Las Heras;611739;38716;NO;No Aplica;No Aplica;-53,178263;-70,921575;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-606;126606;26-010;126010;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Mental  (COSAM);Unidad de Atención;COSAM Punta Arenas;No Aplica;Municipal;Secundario;12101;Punta Arenas;Calle;225;Junta de Gobierno;612291250;38716;NO;No Aplica;No Aplica;-53,178248;-70,922132;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-801;126801;26-301;126301;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR);Establecimiento de Salud;SAR Dr. Juan Damianovic;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;2850;Zenteno ;612260555;44463;SI;Urgencia ambulatoria (SAR);No Aplica;-53,174898;-70,938015;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-301;126301;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Juan Damianovic;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;1102;Zenteno ;800500988;38716;NO;No Aplica;No Aplica;-53,174949;-70,937956;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-203;126203;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Salud Mutual CChC Punta Arenas;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;1890;España;612207800;38716;NO;No Aplica;No Aplica;-53,168237;-70,922324;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-904;200473;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico de Agostini y Cia. Ltda.;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;472;Perez de Arce;612244454;39646;NO;No Aplica;No Aplica;-53,168016;-70,91972;Privado;Vigente en operación habitual;No Aplica;No Aplica;
26-228;126228;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Corporación Municipal Punta Arenas;No Aplica;Municipal;No Aplica;12101;Punta Arenas;Calle;1890;España ;;38716;NO;No Aplica;No Aplica;-53,167827;-70,920882;Público ;Vigente en operación habitual;No Aplica;No Aplica;
26-030;126030;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Unidad de Salud Funcionarios ;Unidad de Atención;Unidad de Salud Funcionario  S.S Magallanes;No Aplica;Servicio de Salud;Secundario;12101;Punta Arenas;Calle;1228;Lautaro Navarro ;;44225;NO;No Aplica;No Aplica;-53,165562;-70,908047;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-010;126010;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dirección Servicio de Salud;Unidad de Atención;Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Calle;1228;Lautaro Navarro ;;38716;NO;No Aplica;No Aplica;-53,165562;-70,908047;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-011;126011;26-010;126010;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Programa de Reparación y Atención Integral de Salud (PRAIS);Programa de Atención ;PRAIS (S.S Magallanes);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Calle;1228;Lautaro Navarro ;;38716;NO;No Aplica;No Aplica;-53,165562;-70,908047;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-900;200171;26-302;126302;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU 18 de Septiembre;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano ;612260730;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-53,165297;-70,930831;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-302;126302;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar 18 Septiembre;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano ;800500986;38716;NO;No Aplica;No Aplica;-53,165219;-70,931067;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-095;126095;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Vacunatorio;Establecimiento de Salud;Vacunatorio SEREMI de Salud Magallanes;No Aplica;SEREMI de Salud;Primario;12101;Punta Arenas;Calle;756;Balmaceda;612291374;38716;NO;No Aplica;No Aplica;-53,164875;-70,910293;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-212;126212;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica de Recuperación Hogar de Cristo Juan Pablo II;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;736;Balmaceda;612242215;38716;NO;No Aplica;No Aplica;-53,164726;-70,91057;Privado;Vigente en operación habitual;Pendiente;Atención Abierta-Ambulatoria;
26-908;200700;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Diagnóstico  Clinica  Magallanes;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;890;Presidente Pedro Montt;;38716;NO;No Aplica;No Aplica;-53,16293;-70,923197;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-214;126214;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico y Dental MegaSalud S.A Punta Arenas;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;890;Puerto Montt;612241110;38716;NO;No Aplica;No Aplica;-53,162831;-70,905418;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-906;200542;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Magallanes;No Aplica;Privado;No Aplica;12101;Punta Arenas;Avenida;1040-D;Cristobal Colón;612244454;28566;NO;No Aplica;No Aplica;-53,161713;-70,900754;Privado;Vigente en operación habitual;No Aplica;No Aplica;
26-912;200921;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Medi-Lab S.A;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;504;Monseñor Fagnano;61-2615165;40184;NO;No Aplica;No Aplica;-53,161592;-70,90533;Privado;Vigente en operación habitual;No Aplica;No Aplica;
26-211;126211;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro Médico Medvital;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;1057;Armando Sanhueza;612235485;38716;NO;No Aplica;No Aplica;-53,161227;-70,911645;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-222;126222;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de la Fuerzas Armadas y de Orden;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;12101;Punta Arenas;Calle;611;José Menendez;612241206;38716;NO;No Aplica;No Aplica;-53,160682;-70,908544;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-225;126225;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Croacia;No Aplica;Privado;No Aplica;12101;Punta Arenas;Calle;1053;Sarmiento;612228903;38716;NO;No Aplica;No Aplica;-53,158399;-70,896966;Privado;Vigente en operación habitual;Pendiente;Atención Abierta-Ambulatoria;
26-213;126213;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Instituto Médico Sarmiento;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;607;Sarmiento;612238587;38716;NO;No Aplica;No Aplica;-53,155788;-70,903864;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-304;126304;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Carlos Ibáñez;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Avenida;;Eduardo Frei;800500987;38716;NO;No Aplica;No Aplica;-53,155217;-70,93044;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201069;201069;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Carlos  Ibañez;No Aplica;Municipal;Primario;12101;Punta Arenas;Avenida;1102;Frei ;612281443; 01-06-2021;SI;Urgencia Ambulatoria (SAPU);Corto;-53,155217;-70,93044;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-227;126227;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Central Odontológica de Magallanes de 3era Zona Naval;No Aplica;Fuerzas Armadas y de Orden (FFAA);Secundario;12101;Punta Arenas;Avenida;256;Bulnes;612207511;38716;NO;No Aplica;No Aplica;-53,154624;-70,901345;Fuerzas Armadas y de Orden;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-200;126200;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital FFAA Cirujano Guzmán;No Aplica;Fuerzas Armadas y de Orden (FFAA);Terciario;12101;Punta Arenas;Avenida;256;Bulnes;612207500;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,154624;-70,901345;Fuerzas Armadas y de Orden;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
26-910;200709;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud ;Centro Diurno (pertenece a SENAMA);No Aplica;Servicio de Salud;Primario;12101;Punta Arenas;Avenida;862;Eduardo Frei Montalva ;;38716;NO;No Aplica;No Aplica;-53,15366;-70,911982;Público ;Vigente en operación transitoria;Baja Complejidad;Atención Abierta-Ambulatoria;
26-303;126303;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Thomas Fenton;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;762;Prolongación Velastegui;800500989;38716;NO;No Aplica;No Aplica;-53,148209;-70,887538;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-219;126219;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Rehabilitación Club de Leones Cruz del Sur;No Aplica;Privado;Secundario;12101;Punta Arenas;Calle;1411;Suiza;612217396;38716;NO;No Aplica;No Aplica;-53,143158;-70,881773;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-300;126300;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Dr. Mateo Bencur;Centro de Salud Familiar;Municipal;Primario;12101;Punta Arenas;Calle;781;Capitán Guillermo;800500990;38716;NO;No Aplica;No Aplica;-53,142118;-70,912631;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-800;126800;26-300;126300;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;SAPU Dr. Mateo Bencur;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;781;Capitán Guillermo ;612210142;38716;SI;Urgencia Ambulatoria (SAPU);Corto;-53,141867;-70,912506;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201245;201245;;;13;Región Metropolitana de Santiago;13;SEREMI Metropolitana de Santiago;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica Dental;Establecimiento de Salud;CEINSA;No Aplica;Privado;No Aplica;13201;Puente Alto;Calle;431;Eduardo Cordero;227922092;44719;NO;No Aplica;No Aplica;-33,605288;-70,570507;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-220;126220;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico AChS (Punta Arenas);No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;0148-A;Presidente Manuel Bulnes;612206400;38716;NO;No Aplica;No Aplica;-53,137931;-70,887143;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-201;126201;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Clínica;Establecimiento de Salud;Clínica Magallanes;No Aplica;Privado;Terciario;12101;Punta Arenas;Avenida;1448;Bulnes;612227301;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,137303;-70,887283;Privado;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
26-202;126202;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;1643;Bulnes;612210738;38716;NO;No Aplica;No Aplica;-53,136785;-70,884704;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-909;200708;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Dispositivo Incorporado por Crisis Sanitaria;Establecimiento de Salud ;UMAG (pertenece a la Facultad de Ciencias de la Salud);No Aplica;Servicio de Salud;No Aplica;12101;Punta Arenas;Avenida;01855;Pdte. Manuel Bulnes;;38716;NO;No Aplica;No Aplica;-53,133711;-70,929482;Público ;Vigente en operación transitoria;Pendiente;Pendiente;
26-905;200541;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Clínica IMET;No Aplica;Privado;Secundario;12101;Punta Arenas;Avenida;04236;Presidente Manuel Bulnes;612363000;43224;NO;No Aplica;No Aplica;-53,129674;-70,877252;Privado;Vigente en operación habitual;Mediana Complejidad;Atención Abierta-Ambulatoria;
26-700;126700;26-300;126300;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Dr. Mateo Bencur;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;1814;Juan Ruiz García;612215133;38716;NO;No Aplica;No Aplica;-53,126517;-70,918091;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-100;126100;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;Autogestionado en Red ( EAR);Servicio de Salud;Terciario;12101;Punta Arenas;Calle;1364;Los Flamencos;612293000;30636;SI;Urgencia Hospitalaria (UEH);No Aplica;-53,12215;-70,896232;Público ;Vigente en operación habitual;Alta Complejidad;Atención Cerrada-Hospitalaria;
26-701;126701;26-303;126303;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro Comunitario de Salud Familiar (CECOSF);Establecimiento de Salud;Centro Comunitario de Salud Familiar Río Seco;No Aplica;Municipal;Primario;12101;Punta Arenas;Calle;;Sector Río Seco ;;38716;NO;No Aplica;No Aplica;-53,057548;-70,857881;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-402;126402;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Río Verde;No Aplica;Municipal;Primario;12103;Río Verde;Calle;;Caserío de Río Verde;95556218;38716;NO;No Aplica;No Aplica;-52,651092;-71,463417;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-403;126403;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Tehuelches;No Aplica;Municipal;Primario;12102;Laguna Blanca;Calle;;Caserío de Villa Tehuenches;88292090;38716;NO;No Aplica;No Aplica;-52,428269;-71,413018;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-404;126404;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Posta de Salud Rural (PSR);Establecimiento de Salud;Posta de Salud Rural Punta Delgada;No Aplica;Municipal;Primario;12104;San Gregorio;Calle;;Sector Punta Delgada;90259359;38716;NO;No Aplica;No Aplica;-52,316378;-69,689584;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-903;200472;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Biohealth;No Aplica;Privado;No Aplica;12401;Natales;Calle;781;Baquedano;962170366;42214;NO;No Aplica;No Aplica;-51,731515;-72,499538;Privado;Vigente en operación habitual;No Aplica;No Aplica;
26-101;126101;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Hospital;Establecimiento de Salud;Hospital Dr. Augusto Essmann Burgos ( Natales);No Aplica;Servicio de Salud;Terciario;12401;Natales;Calle;537;Ignacio Carrera Pinto ;612291012;38716;SI;Urgencia Hospitalaria (UEH);No Aplica;-51,730327;-72,506046;Público ;Vigente en operación habitual;Mediana Complejidad;Atención Cerrada-Hospitalaria;
26-305;126305;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Familiar (CESFAM);Establecimiento de Salud;Centro de Salud Familiar Natales;Centro de Salud Familiar;Municipal;Primario;12401;Natales;Calle;;Javiera Carrera ;612411000;38716;NO;No Aplica;No Aplica;-51,72835;-72,482684;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
201079;201079;;;12;Región De Magallanes y de la Antártica Chilena;26;Servicio de Salud Magallanes;Perteneciente al Sistema Nacional de Servicios de Salud;Servicio de Atención Primaria de Urgencia (SAPU);Establecimiento de Salud;"SAPU ""Dr. Juan Lozic Perez""";No Aplica;Municipal;Primario;12401;Natales;Calle;;Javiera Carrera;612411000;44319;SI;Urgencia Ambulatoria (SAPU);Corto;-51,728207;-72,482647;Público ;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-925;200025;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Centro de Salud Privado;Establecimiento de Salud;Policlínico de Asociación Chilena de Seguridad;No Aplica;Privado;Secundario;12401;Natales;Calle;230;Baquedano;;36116;NO;No Aplica;No Aplica;-51,726161;-72,501522;Privado;Vigente en operación habitual;Baja Complejidad;Atención Abierta-Ambulatoria;
26-913;200922;;;12;Región De Magallanes y de la Antártica Chilena;12;SEREMI De Magallanes y la Antártica Chilena;No perteneciente al Sistema Nacional de Servicios de Salud;Laboratorio Clínico;Establecimiento de Salud;Laboratorio Clínico Austral;No Aplica;Privado;No Aplica;12401;Natales;Calle;29;Tomás Rogers ;410996;32385;NO;No Aplica;No Aplica;-51,725382;-72,507691;Privado;Vigente en operación habitual;No Aplica;No Aplica;
